year,Reporting Entity,Facility Name,State,Electricity production (GJ),Electricity Production (Mwh),scope_1,scope_2,Total_emissions,numbers,Power_Per_unit,Capacity
2012,ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,,"595,404",,30.0,297.0,327.0,31,1.5,46.5
2012,ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,,"2,405,976",,94.0,1095.0,1189.0,128,1.5,192.0
2012,AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,,"1,194,036",,83.0,234.0,317.0,45,2.1,95.0
2012,AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,,"922,419",,46.0,179.0,225.0,34,2.1,71.0
2012,AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,,"1,532,308",,112.0,349.0,461.0,63,2.1,132.0
2012,AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,,"540,866",,53.0,198.0,251.0,25,2.1,52.5
2012,AGL ENERGY LIMITED,Macarthur Wind Farm,,"2,079,451",,1866.0,2122.0,3988.0,140,3.0,420.0
2012,AGL ENERGY LIMITED,Oaklands Hill Wind Farm,,"539,084",,74.0,622.0,696.0,32,2.1,67.2
2012,AGL ENERGY LIMITED,Wattle Point Wind Farm,,"860,778",,66.0,221.0,287.0,55,1.6,91.0
2012,APT PIPELINES LIMITED,Emu Downs Wind Farm,,"815,272",,450.0,445.0,357.3803698435278,48,1.6,79.2
2012,CANUNDA POWER PTY LTD,Canunda Wind Farm,,"431,639",,18.0,152.0,170.0,23,2.0,46.0
2012,CWF HOLDINGS PTY LTD,Collgar Wind Farm,,"2,180,019",,231.0,760.0,991.0,111,2.0,222.0
2012,ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,Albany Wind Farm,,"322,543",,10.0,13.0,23.0,12,3.0,35.4
2012,ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,Denham Wind Farm,,"7,363",,0.0,1.0,1.0,4,1.0,4.0
2012,ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,Esperance Wind Farm,,"51,960",,0.0,10.0,10.0,9,0.2,2.025
2012,ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,Kalbarri Wind Farm,,"16,732",,0.0,12.0,12.0,2,0.8,1.6
2012,ENERGYAUSTRALIA HOLDINGS LTD,Cathedral Rocks Wind Farm,,"639,410",,56.0,143.0,199.0,33,2.0,66.0
2012,ENERGYAUSTRALIA HOLDINGS LTD,Waterloo Wind Farm,,"1,131,173",,163.0,212.0,375.0,43,3.0,131.0
2012,ERARING ENERGY,Blayney Wind Farm,,"56,742",,4.0,40.0,44.0,15,0.7,9.9
2012,ERARING ENERGY,Crookwell Wind Farm,,"24,751",,1.0,28.0,29.0,28,3.4,95.2
2012,HYDRO-ELECTRIC CORPORATION,Musselroe Wind Farm,,"31,449",,1690.0,412.0,2102.0,56,3.8,168.0
2012,IFM RENEWABLE ENERGY PTY LTD,Challicum Hills Wind Farm,,"492,121",,27.0,0.0,27.0,35,1.5,52.5
2012,IFM RENEWABLE ENERGY PTY LTD,Clements Gap Wind Farm,,"608,449",,12.0,0.0,12.0,27,2.1,57.0
2012,IFM RENEWABLE ENERGY PTY LTD,Portland Wind Farms,,"1,186,822",,20.0,0.0,20.0,20,0.6,
2012,IFM RENEWABLE ENERGY PTY LTD,Yambuk Wind Farm,,"325,053",,24.0,0.0,24.0,98,1.3,195.0
2012,INFIGEN ENERGY LIMITED,Alinta Wind Farm,,"1,178,276",,68.0,601.0,669.0,58,3.4,
2012,INFIGEN ENERGY LIMITED,Capital Wind Farm,,"1,274,685",,131.0,609.0,740.0,67,2.1,140.7
2012,INFIGEN ENERGY LIMITED,"Lake Bonney Stage 1,2 & 3 Wind Farm",,"2,424,891",,95.0,1048.0,1143.0,111,2.0,
2012,INFIGEN ENERGY LIMITED,Woodlawn Wind Farm,,"539,419",,22.0,230.0,252.0,23,2.0,48.3
2012,RATCH - AUSTRALIA CORPORATION LIMITED,Starfish Hill Wind Farm,,"261,473",,49.0,62.0,111.0,22,1.6,35.0
2012,RATCH - AUSTRALIA CORPORATION LIMITED,Toora Wind Farm,,"189,969",,11.0,265.0,100.51322901849218,12,1.8,21.0
2012,RATCH - AUSTRALIA CORPORATION LIMITED,Windy Hill Wind Farm,,"106,687",,8.0,12.0,20.0,20,0.6,12.0
2012,SHENHUA CLEAN ENERGY HOLDINGS PTY LTD,Woolnorth Bluff point Wind Farm Pty Ltd,,"901,598",,103.0,5827.0,1563.5391180654337,80,4.2,
2012,SHENHUA CLEAN ENERGY HOLDINGS PTY LTD,Woolnorth Studland Bay Wind Farm Pty Ltd,,"959,743",,103.0,6717.0,1954.4238975817923,140,3.0,
2012,SNOWTOWN WIND FARM PTY LTD,Snowtown Wind Farm,,"1,379,760",,0.0,201.0,201.0,48,3.0,370.8
2013,ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,,"622,579",,31.0,375.0,406.0,31,1.5,46.5
2013,ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,,"2,506,981",,73.0,1173.0,1246.0,128,1.5,192.0
2013,AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,,"1,292,065",,104.0,199.0,303.0,45,2.1,95.0
2013,AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,,"967,209",,85.0,156.0,241.0,34,2.1,71.0
2013,AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,,"1,743,573",,134.0,342.0,476.0,63,2.1,132.0
2013,AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,,"603,982",,63.0,179.0,242.0,25,2.1,52.5
2013,AGL ENERGY LIMITED,Macarthur Wind Farm,,"3,838,563",,1114.0,2358.0,3472.0,140,3.0,420.0
2013,AGL ENERGY LIMITED,Oaklands Hill Wind Farm,,"607,814",,63.0,488.0,551.0,32,2.1,67.2
2013,AGL ENERGY LIMITED,Wattle Point Wind Farm,,"1,065,059",,51.0,192.0,243.0,55,1.6,91.0
2013,APT PIPELINES LIMITED,Emu Downs Wind Farm,,"869,699",,96.0,417.0,513.0,48,1.6,79.2
2013,CANUNDA POWER PTY LTD,Canunda Wind Farm,,"471,574",,17.0,139.0,156.0,23,2.0,46.0
2013,CWF HOLDINGS PTY LTD,Collgar Wind Farm,,"2,507,946",,213.0,914.0,1127.0,111,2.0,222.0
2013,ELECTRICITY GENERATION AND RETAIL CORPORATION,Albany Wind Farm,,"369,514",,10.0,7.0,17.0,12,3.0,35.4
2013,ELECTRICITY GENERATION AND RETAIL CORPORATION,Denham Wind Farm,,"7,883",,0.0,1.0,1.0,4,1.0,4.0
2013,ELECTRICITY GENERATION AND RETAIL CORPORATION,Esperance Wind Farm,,"57,543",,0.0,7.0,7.0,9,0.2,2.025
2013,ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalbarri Wind Farm,,"13,436",,0.0,8.0,8.0,2,0.8,1.6
2013,ENERGYAUSTRALIA HOLDINGS LIMITED,Cathedral Rocks Wind Farm,,"715,588",,57.0,123.0,180.0,33,2.0,66.0
2013,ENERGYAUSTRALIA HOLDINGS LIMITED,Waterloo Wind Farm,,"1,229,935",,86.0,169.0,255.0,43,3.0,131.0
2013,GREEN STATE POWER PTY LTD,Blayney Wind Farm,,"65,569",,7.0,47.0,54.0,15,0.7,9.9
2013,GREEN STATE POWER PTY LTD,Crookwell Wind Farm,,"65,569",,0.0,31.0,31.0,28,3.4,95.2
2013,HYDRO-ELECTRIC CORPORATION,Musselroe Wind Farm,,"514,262",,34.0,2.0,36.0,56,0.6,168.0
2013,IFM RENEWABLE ENERGY PTY LTD,Challicum Hills Wind Farm,,"548,625",,29.0,0.0,29.0,35,1.5,52.5
2013,IFM RENEWABLE ENERGY PTY LTD,Clements Gap Wind Farm,,"656,001",,32.0,0.0,32.0,27,2.1,57.0
2013,IFM RENEWABLE ENERGY PTY LTD,Codrington Wind Farm,,"161,201",,8.0,0.0,8.0,14,1.3,18.2
2013,IFM RENEWABLE ENERGY PTY LTD,Portland Wind Farms,,"1,279,151",,153.0,0.0,153.0,23,2.0,
2013,IFM RENEWABLE ENERGY PTY LTD,Yambuk Wind Farm,,"336,675",,32.0,0.0,32.0,98,1.3,195.0
2013,INFIGEN ENERGY LIMITED,Alinta Wind Farm,,"1,207,884",,50.0,594.0,644.0,58,3.4,
2013,INFIGEN ENERGY LIMITED,Capital Wind Farm,,"1,375,232",,68.0,710.0,778.0,67,2.1,140.7
2013,INFIGEN ENERGY LIMITED,"Lake Bonney Stage 1,2 & 3 Wind Farm",,"2,621,451",,81.0,818.0,357.3803698435278,48,1.6,
2013,INFIGEN ENERGY LIMITED,Woodlawn Wind Farm,,"574,347",,12.0,278.0,290.0,23,1.8,48.3
2013,MERIDIAN ENERGY AUSTRALIA PTY LIMITED,Mt Mercer Wind farm Pty Ltd,,"361,278",,2541.0,120.0,253.14442863916545,16,3.4,
2013,MERIDIAN ENERGY AUSTRALIA PTY LIMITED,Mt Millar Wind Farm Pty Ltd,,"664,081",,19.0,0.0,19.0,20,0.6,
2013,NEW GULLEN RANGE WIND FARM (HOLDING) PTY LTD,Gullen Range Wind Farm,,"174,940",,0.0,245.0,245.0,17,2.5,165.5
2013,ORIGIN ENERGY LIMITED,Crookwell Wind Farm,,"1,449",,1.0,2.0,3.0,28,3.4,95.2
2013,RATCH - AUSTRALIA CORPORATION LIMITED,Starfish Hill Wind Farm,,"360,374",,58.0,51.0,109.0,22,1.6,35.0
2013,RATCH - AUSTRALIA CORPORATION LIMITED,Toora Wind Farm,,"228,939",,17.0,211.0,100.51322901849218,12,1.8,21.0
2013,RATCH - AUSTRALIA CORPORATION LIMITED,Windy Hill Wind Farm,,"116,915",,16.0,12.0,28.0,20,0.6,12.0
2013,SENVION HOLDINGS PTY LTD,Wonthaggi Wind Farm,,"109,759",,21.0,0.0,21.0,6,2.0,12.0
2013,SHENHUA CLEAN ENERGY HOLDINGS PTY LTD,Musselroe Wind Farm Pty Ltd,,"1,288,981",,103.0,1945.0,2048.0,60,3.8,
2013,SHENHUA CLEAN ENERGY HOLDINGS PTY LTD,Woolnorth Bluff point Wind Farm Pty Ltd,,"994,415",,73.0,4876.0,519.3183499288763,31,3.6,
2013,SHENHUA CLEAN ENERGY HOLDINGS PTY LTD,Woolnorth Studland Bay Wind Farm Pty Ltd,,"1,039,760",,74.0,5082.0,519.3183499288763,31,3.6,
2013,SNOWTOWN SOUTH WIND FARM PTY. LTD.,SNOWTOWN SOUTH WIND FARM,,"743,674",,56.0,116.0,172.0,23,2.0,
2013,SNOWTOWN WIND FARM PTY LTD,Snowtown Wind Farm,,"1,432,188",,74.0,200.0,274.0,48,3.0,370.8
2013,SNOWTOWN WIND FARM STAGE 2 PTY. LTD.,SNOWTOWN WIND FARM STAGE 2,,"373,153",,66.0,73.0,139.0,33,3.4,
2014,ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,NSW,567719,157700,19.0,293.0,312.0,31,1.5,46.5
2014,ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,VIC,2461803,683834,77.0,1144.0,1221.0,128,1.5,192.0
2014,AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,SA,1136668,315741,135.0,217.0,352.0,45,2.1,95.0
2014,AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,SA,858516,238477,85.0,187.0,272.0,34,2.1,71.0
2014,AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,SA,1543714,428809,133.0,360.0,493.0,63,2.1,132.0
2014,AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,SA,489049,135847,75.0,175.0,250.0,25,2.1,52.5
2014,AGL ENERGY LIMITED,Macarthur Wind Farm,VIC,3589748,997152,371.0,2655.0,3026.0,140,3.0,420.0
2014,AGL ENERGY LIMITED,Oaklands Hill Wind Farm,VIC,526539,146261,68.0,637.0,312.70782361308676,32,2.1,67.2
2014,AGL ENERGY LIMITED,Wattle Point Wind Farm,SA,937578,260438,49.0,229.0,278.0,55,1.6,91.0
2014,APT PIPELINES LIMITED,Emu Downs Wind Farm,WA,913852,253848,91.0,343.0,434.0,48,1.6,79.2
