year,Reporting Entity,Facility Name,State,Electricity production (GJ),Electricity Production (Mwh),scope 1,scope 2,Total emissions (t CO2-e),numbers,Power Per unit,Capacity
2012,ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,,"595,404",,30,297,327,31,1.5,46.5
2012,ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,,"2,405,976",,94,"1,095","1,189",128,1.5,192
2012,AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,,"1,194,036",,83,234,317,45,2.1,95
2012,AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,,"922,419",,46,179,225,34,2.1,71
2012,AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,,"1,532,308",,112,349,461,63,2.1,132
2012,AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,,"540,866",,53,198,251,25,2.1,52.5
2012,AGL ENERGY LIMITED,Macarthur Wind Farm,,"2,079,451",,"1,866","2,122","3,988",140,3,420
2012,AGL ENERGY LIMITED,Oaklands Hill Wind Farm,,"539,084",,74,622,696,32,2.1,67.2
2012,AGL ENERGY LIMITED,Wattle Point Wind Farm,,"860,778",,66,221,287,55,1.65,91
2012,APT PIPELINES LIMITED,Emu Downs Wind Farm,,"815,272",,450,445,895,48,1.65,79.2
2012,CANUNDA POWER PTY LTD,Canunda Wind Farm,,"431,639",,18,152,170,23,2,46
2012,CWF HOLDINGS PTY LTD,Collgar Wind Farm,,"2,180,019",,231,760,991,111,2,222
2012,ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,Albany Wind Farm,,"322,543",,10,13,23,12,2.95,35.4
2012,ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,Denham Wind Farm,,"7,363",,0,1,1,4,1.02,4
2012,ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,Esperance Wind Farm,,"51,960",,0,10,10,9,0.225,2.025
2012,ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,Kalbarri Wind Farm,,"16,732",,0,12,12,2,0.8,1.6
2012,ENERGYAUSTRALIA HOLDINGS LTD,Cathedral Rocks Wind Farm,,"639,410",,56,143,199,33,2,66
2012,ENERGYAUSTRALIA HOLDINGS LTD,Waterloo Wind Farm,,"1,131,173",,163,212,375,43,3.04,131
2012,ERARING ENERGY,Blayney Wind Farm,,"56,742",,4,40,44,15,0.66,9.9
2012,ERARING ENERGY,Crookwell Wind Farm,,"24,751",,1,28,29,28,3.4,95.2
2012,HYDRO-ELECTRIC CORPORATION,Musselroe Wind Farm,,"31,449",,"1,690",412,"2,102",56,,168
2012,IFM RENEWABLE ENERGY PTY LTD,Challicum Hills Wind Farm,,"492,121",,27,0,27,35,35,52.5
2012,IFM RENEWABLE ENERGY PTY LTD,Clements Gap Wind Farm,,"608,449",,12,0,12,27,27,57
2012,IFM RENEWABLE ENERGY PTY LTD,Portland Wind Farms,,"1,186,822",,20,0,20,,,
2012,IFM RENEWABLE ENERGY PTY LTD,Yambuk Wind Farm,,"325,053",,24,0,24,98,98,195
2012,INFIGEN ENERGY LIMITED,Alinta Wind Farm,,"1,178,276",,68,601,669,,,
2012,INFIGEN ENERGY LIMITED,Capital Wind Farm,,"1,274,685",,131,609,740,67,,140.7
2012,INFIGEN ENERGY LIMITED,"Lake Bonney Stage 1,2 & 3 Wind Farm",,"2,424,891",,95,"1,048","1,143",,,
2012,INFIGEN ENERGY LIMITED,Woodlawn Wind Farm,,"539,419",,22,230,252,23,,48.3
2012,RATCH - AUSTRALIA CORPORATION LIMITED,Starfish Hill Wind Farm,,"261,473",,49,62,111,22,22,35
2012,RATCH - AUSTRALIA CORPORATION LIMITED,Toora Wind Farm,,"189,969",,11,265,276,12,1.75,21
2012,RATCH - AUSTRALIA CORPORATION LIMITED,Windy Hill Wind Farm,,"106,687",,8,12,20,20,20,12
2012,SHENHUA CLEAN ENERGY HOLDINGS PTY LTD,Woolnorth Bluff point Wind Farm Pty Ltd,,"901,598",,103,"5,827","5,930",,,
2012,SHENHUA CLEAN ENERGY HOLDINGS PTY LTD,Woolnorth Studland Bay Wind Farm Pty Ltd,,"959,743",,103,"6,717","6,820",,,
2012,SNOWTOWN WIND FARM PTY LTD,Snowtown Wind Farm,,"1,379,760",,0,201,201,48,3,370.8
2013,ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,,"622,579",,31,375,,31,1.5,46.5
2013,ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,,"2,506,981",,73,"1,173",,128,1.5,192
2013,AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,,"1,292,065",,104,199,,45,2.1,95
2013,AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,,"967,209",,85,156,,34,2.1,71
2013,AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,,"1,743,573",,134,342,,63,2.1,132
2013,AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,,"603,982",,63,179,,25,2.1,52.5
